0,1,2,3,4,5,6,7,8,9,10,11,12,13
A.B.,B.A.,,,,,,,,,,,,
A.B.A.,B.A.A.,,,,,,,,,,,,
A.C.,C.A.,,,,,,,,,,,,
A.D.,D.A.,,,,,,,,,,,,
A.G.,G.A.,,,,,,,,,,,,
A.L.,L.A.,,,,,,,,,,,,
A.M.,M.A.,,,,,,,,,,,,
A.N.,N.A.,,,,,,,,,,,,
A.V.,V.A.,,,,,,,,,,,,
A/C,C/A,,,,,,,,,,,,
AAE,AEA,EAA,,,,,,,,,,,
AAF,AFA,FAA,,,,,,,,,,,
aahed,ahead,,,,,,,,,,,,
Aalborg,Algorab,,,,,,,,,,,,
aals,lasa,sala,,,,,,,,,,,
AAM,AMA,MAA,,,,,,,,,,,
Aani,Ania,,,,,,,,,,,,
AAO,AOA,,,,,,,,,,,,
AAP,APA,,,,,,,,,,,,
Aarau,Araua,,,,,,,,,,,,
Aaren,Arean,,,,,,,,,,,,
aargh,agrah,,,,,,,,,,,,
Aarhus,Arusha,Aushar,,,,,,,,,,,
Aaron,Anora,Arona,,,,,,,,,,,
AARP,APRA,ARPA,,,,,,,,,,,
AAS,ASA,SAA,,,,,,,,,,,
AAU,AUA,,,,,,,,,,,,
AB,BA,,,,,,,,,,,,
ABA,BAA,,,,,,,,,,,,
abac,caba,,,,,,,,,,,,
abaca,cabaa,,,,,,,,,,,,
abacas,cabasa,casaba,,,,,,,,,,,
abaction,botanica,,,,,,,,,,,,
abactor,acrobat,,,,,,,,,,,,
abaft,bafta,,,,,,,,,,,,
Abagtha,Abgatha,,,,,,,,,,,,
abay,yaba,,,,,,,,,,,,
abaised,diabase,,,,,,,,,,,,
abaissed,diabases,,,,,,,,,,,,
abalone,balonea,,,,,,,,,,,,
abalones,asbolane,,,,,,,,,,,,
abamperes,absampere,,,,,,,,,,,,
aband,badan,,,,,,,,,,,,
abandoner,reabandon,,,,,,,,,,,,
abandoners,reabandons,,,,,,,,,,,,
Abaris,Arabis,,,,,,,,,,,,
Abas,Absa,,,,,,,,,,,,
abasement,entamebas,,,,,,,,,,,,
abaser,abrase,,,,,,,,,,,,
abases,baases,,,,,,,,,,,,
Abasgi,Abisag,,,,,,,,,,,,
abasic,scabia,,,,,,,,,,,,
abasing,bisnaga,,,,,,,,,,,,
abastard,bastarda,,,,,,,,,,,,
Abate,Ateba,,,,,,,,,,,,
abater,artabe,eartab,trabea,,,,,,,,,,
abaters,abreast,,,,,,,,,,,,
abates,beatas,,,,,,,,,,,,
abatised,basiated,,,,,,,,,,,,
abator,arbota,barato,rabato,,,,,,,,,,
abators,rabatos,,,,,,,,,,,,
abattu,bautta,,,,,,,,,,,,
abattue,batteau,,,,,,,,,,,,
abbas,babas,,,,,,,,,,,,
Abbey,Abbye,,,,,,,,,,,,
abbes,babes,,,,,,,,,,,,
abbest,bestab,,,,,,,,,,,,
Abbi,Abib,,,,,,,,,,,,
Abbie,Abebi,,,,,,,,,,,,
ABC,ACB,CAB,,,,,,,,,,,
abd,bad,,,,,,,,,,,,
abdali,abidal,,,,,,,,,,,,
abdat,batad,,,,,,,,,,,,
abdest,basted,bestad,,,,,,,,,,,
abdom,domba,,,,,,,,,,,,
abdominovaginal,vaginoabdominal,,,,,,,,,,,,
abdominovesical,vesicoabdominal,,,,,,,,,,,,
abductores,subcordate,,,,,,,,,,,,
a-be,bae-,,,,,,,,,,,,
abeam,ameba,,,,,,,,,,,,
abed,bade,bead,,,,,,,,,,,
abedge,gadbee,,,,,,,,,,,,
abeigh,abiegh,,,,,,,,,,,,
abelmosk,smokable,,,,,,,,,,,,
abelmosks,smokables,,,,,,,,,,,,
abend,bande,baned,,,,,,,,,,,
abends,besand,,,,,,,,,,,,
abenteric,bicrenate,,,,,,,,,,,,
aberr,barer,rebar,,,,,,,,,,,
abet,beat,,,,,,,,,,,,
abetment,batement,,,,,,,,,,,,
abets,baste,beast,beats,betas,estab,sebat,tabes,,,,,,
abettal,balatte,,,,,,,,,,,,
abettals,statable,tastable,,,,,,,,,,,
abetters,beatster,berettas,,,,,,,,,,,
abettor,taboret,,,,,,,,,,,,
abettors,taborets,,,,,,,,,,,,
Abeu,Aube,,,,,,,,,,,,
abfarads,absfarad,,,,,,,,,,,,
ABHC,BACH,,,,,,,,,,,,
abhenrys,abshenry,,,,,,,,,,,,
abhorred,harbored,,,,,,,,,,,,
abhorrent,earthborn,,,,,,,,,,,,
abhorrer,harborer,,,,,,,,,,,,
abhorrers,harborers,,,,,,,,,,,,
abhorring,harboring,,,,,,,,,,,,
ABI,IAB,IBA,,,,,,,,,,,
abidden,bandied,,,,,,,,,,,,
abide,abied,,,,,,,,,,,,
abided,baddie,,,,,,,,,,,,
abider,abreid,bardie,,,,,,,,,,,
abiders,braised,darbies,seabird,sidebar,,,,,,,,,
abides,biased,dibase,,,,,,,,,,,
abyed,bayed,beady,beday,,,,,,,,,,
abient,betain,binate,,,,,,,,,,,
abyes,absey,esbay,,,,,,,,,,,
abietin,bainite,,,,,,,,,,,,
Abigael,Abigale,Algieba,,,,,,,,,,,
abigeat,tabagie,,,,,,,,,,,,
abying,baying,,,,,,,,,,,,
Abyla,Albay,,,,,,,,,,,,
abilla,labial,,,,,,,,,,,,
abilo,aboil,bailo,,,,,,,,,,,
Abinoam,Amboina,,,,,,,,,,,,
abioses,isobase,,,,,,,,,,,,
abir,abri,,,,,,,,,,,,
abysmal,balsamy,,,,,,,,,,,,
abiston,bastion,bonitas,obtains,,,,,,,,,,
abit,bait,tabi,,,,,,,,,,,
abiuret,aubrite,biurate,rubiate,,,,,,,,,,
abkar,bakra,kabar,,,,,,,,,,,
abl.,bal.,,,,,,,,,,,,
ablactate,cabaletta,,,,,,,,,,,,
ablare,arable,,,,,,,,,,,,
ablastemic,masticable,,,,,,,,,,,,
ablate,balate,,,,,,,,,,,,
ablated,albetad,datable,,,,,,,,,,,
ablates,astable,satable,,,,,,,,,,,
ablating,bangtail,,,,,,,,,,,,
ablation,albation,obtainal,,,,,,,,,,,
ablaut,tabula,,,,,,,,,,,,
able,albe,blae,blea,,,,,,,,,,
ablegates,stageable,,,,,,,,,,,,
ablend,balden,bandel,bandle,,,,,,,,,,
ableness,blaeness,sensable,,,,,,,,,,,
ablepsia,epibasal,,,,,,,,,,,,
abler,belar,blare,blear,,,,,,,,,,
ables,bales,,,,,,,,,,,,
ablest,belast,bleats,stable,tables,,,,,,,,,
ablet,batel,belat,blate,bleat,tabel,table,,,,,,,
ably,blay,yalb,,,,,,,,,,,
ablins,blains,,,,,,,,,,,,
abloom,mabolo,,,,,,,,,,,,
ablow,balow,bowla,,,,,,,,,,,
ABLS,BLAS,,,,,,,,,,,,
ablude,belaud,,,,,,,,,,,,
abluent,bleaunt,tunable,,,,,,,,,,,
abluents,unstable,,,,,,,,,,,,
ablute,batule,tabule,,,,,,,,,,,
ablutions,abutilons,sublation,,,,,,,,,,,
ABM,BAM,BMA,MBA,,,,,,,,,,
abmho,abohm,,,,,,,,,,,,
abmhos,abohms,absmho,absohm,,,,,,,,,,
Abner,Arneb,,,,,,,,,,,,
abnet,beant,,,,,,,,,,,,
aboard,aborad,abroad,,,,,,,,,,,
abode,adobe,,,,,,,,,,,,
abodes,adobes,,,,,,,,,,,,
abolete,eelboat,,,,,,,,,,,,
abolisher,reabolish,,,,,,,,,,,,
abolitionism,mobilisation,,,,,,,,,,,,
abomasal,salambao,,,,,,,,,,,,
aboral,arbalo,,,,,,,,,,,,
abord,board,dobra,dorab,,,,,,,,,,
Aborn,Arbon,,,,,,,,,,,,
aborsive,overbias,,,,,,,,,,,,
abort,boart,rabot,,,,,,,,,,,
aborted,borated,tabored,,,,,,,,,,,
aborter,arboret,taborer,,,,,,,,,,,
aborters,taborers,,,,,,,,,,,,
aborticide,bacterioid,,,,,,,,,,,,
abortient,torbanite,,,,,,,,,,,,
abortin,abrotin,taborin,,,,,,,,,,,
aborting,borating,taboring,,,,,,,,,,,
abortion,orbation,robotian,,,,,,,,,,,
abortive,bravoite,overbait,,,,,,,,,,,
